Name Of Hotel,Rating,Location,Price AMD,Breakfast,Room,Outdoors,Ski,Activities,Food & Drink,Internet,Parking,Languages spoken,Wellness,Outdoor swimming pool,Spa
Yerevan Centre Hotel,8.6,Yerevan,"44,000",Not Included,Large Double Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Patio | Terrace | Garden,Doesn't have,"Cooking class (Additional charge) | Walking tours (Additional charge) | Movie nights | Badminton equipment | Hiking (Off-site, Additional charge) | Hot tub",Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Snack bar | Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage,English | Russian,Doesn't have,Doesn't have,Doesn't have
Guesthouse Chambarak,8.8,Chambarak,"10,000",Not Included,Large Twin Room,Outdoor fireplace | Picnic area | BBQ facilities,Doesn't have,Table tennis,Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Restaurant,WiFi is available in all areas and is free of charge.,Street parking,Russian,Doesn't have,Doesn't have,Doesn't have
Andor Hotel,9.4,Yerevan,"9,500",Not Included,Single Bed in Male Dormitory Room,Doesn't have,Doesn't have,Temporary art galleries,Fruits | Special diet menus (on request) | Snack bar,WiFi is available in the hotel rooms and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Nuryan Hotel Yerevan,7.9,Yerevan,"30,500",Included,Classic Triple Room,Outdoor furniture | Outdoor dining area | Outdoor furniture | Terrace | Garden,Doesn't have,"Cooking class (Off-site, Additional charge) | Tour or class about local culture (Additional charge) | Walking tours (Additional charge)",Wine/champagne (Additional charge) | Kid meals | Breakfast in the room,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Nova Hotel Yerevan,9.3,Yerevan,"44,650",Included,Economy Double Room,Doesn't have,Doesn't have,Live sport events (broadcast),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,Arabic | German | English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Popock Dilijan 2,8.9,Dilijan,"17,100",Not Included,Large Double Room,BBQ facilities | Garden,Doesn't have,Children's playground | Fitness centre,Doesn't have,WiFi is available in the hotel rooms and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
DAYS INN HOTEL,9.5,Yerevan,"50,350",Not Included,Superior Double Room,BBQ facilities | Terrace,Doesn't have,Doesn't have,Coffee house on site | Fruits | Wine/champagne (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Hotel Tigran Mets Yerevan,9.1,Yerevan,"32,800",Not Included,Double or Twin Room,Doesn't have,Doesn't have,Doesn't have,Wine/champagne (Additional charge) | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Spanish | French | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
"North Avenue by Stellar Hotels, Yerevan",9.1,Yerevan,"42,900",Not Included,Standard Double Room,Doesn't have,Doesn't have,"Tour or class about local culture (Additional charge) | Happy hour (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Horse riding (Off-site, Additional charge) | Bowling (Off-site, Additional charge) | Billiards (Additional charge)",Fruits,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
DAYS INN HOTEL,9.5,Yerevan,"50,350",Not Included,Superior Double Room,Doesn't have,Doesn't have,"Tour or class about local culture (Additional charge) | Happy hour (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Horse riding (Off-site, Additional charge) | Bowling (Off-site, Additional charge) | Billiards (Additional charge)",Fruits,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Hotel Tigran Mets Yerevan,9.1,Yerevan,"41,000",Not Included,Double or Twin Room,Terrace | Garden,Doesn't have,Cycling,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Electric vehicle charging station | Street parking,English | French | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
"North Avenue by Stellar Hotels, Yerevan",9.1,Yerevan,"42,900",Not Included,Standard Double Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Sun terrace | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Cycling | Hiking,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Special diet menus (on request) | Breakfast in the room | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Special Apartment in the centre of Yerevan,9.4,Yerevan,"25,000",Not Included,One-Bedroom Apartment,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Terrace | Garden,Doesn't have,"Live sport events (broadcast) | Live music/performance (Off-site, Additional charge) | Cooking class (Off-site, Additional charge) | Tour or class about local culture (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Pub crawls (Additional charge) | Temporary art galleries (Off-site, Additional charge) | Games room",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Bar | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Diamond Hotel Yerevan,8.5,Yerevan,"69,000",Not Included,Standard Double or Twin Room,Terrace | Garden,Doesn't have,Live sport events (broadcast) (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Evening entertainment (Additional charge) | Nightclub/DJ (Additional charge),Coffee house on site | Fruits | Kid-friendly buffet | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Park Avenue Hotel Yerevan,8.9,Yerevan,"19,500",Not Included,Standard Double Room with Garden View,Picnic area | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,Greek | English | Russian,Doesn't have,Doesn't have,Doesn't have
Benefice Hotel Yerevan,8.8,Yerevan,"32,000",Included,Superior Deluxe Double or Twin Room ,Picnic area | BBQ facilities | Terrace | Garden,Doesn't have,Doesn't have,Fruits (Additional charge) | Breakfast in the room,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Saryan Hotel Yerevan,8.9,Yerevan,"53,000",Not Included,Double or Twin Room,Doesn't have,Doesn't have,Doesn't have,Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Inga Hotel Yerevan,9.3,Yerevan,"29,500",Included,Deluxe Single Room,Terrace | Balcony,Doesn't have,Hiking (Off-site),Grocery deliveries | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
V G hotel,8.1,Yerevan,"30,000",Included,Large Twin Room,Outdoor furniture | Terrace,Doesn't have,"Live sport events (broadcast) (Additional charge) | Live music/performance (Additional charge) | Tour or class about local culture (Additional charge) | Happy hour | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Movie nights (Off-site, Additional charge) | Stand-up comedy (Additional charge) | Pub crawls (Additional charge) | Temporary art galleries (Additional charge) | Evening entertainment (Additional charge)",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking,Arabic | English | Spanish | Farsi | French | Armenian | Russian,"Fitness/spa locker rooms | Personal trainer | Fitness classes | Yoga classes | Fitness | Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Couples massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Spa/wellness packages | Foot bath | Spa lounge/relaxation area | Steam room | Spa facilities | Light therapy | Body wrap | Body scrub | Body treatments | Hair styling | Hair colouring | Hair cut | Pedicure | Manicure | Hair treatments | Make up services | Facial treatments | Beauty Services | Sun loungers or beach chairs | Massage (Additional charge) | Spa and wellness centre (Additional charge) | Fitness centre

(Temporarily closed) | Sauna",Doesn't have,Doesn't have
Bloor Hotel,8.8,Yerevan,"27,160",Included,Twin Room with Bathroom,Doesn't have,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
VIAGGIO Hotel & Tours,8.4,Yerevan,"36,810",Included,Deluxe Double Room,Outdoor furniture | Balcony | Terrace,Doesn't have,Doesn't have,Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | French | Armenian | Russian,Fitness/spa locker rooms | Fitness | Spa lounge/relaxation area | Steam room | Sun loungers or beach chairs | Public Bath | Massage (Additional charge) | Fitness centre | Sauna,Doesn't have,Doesn't have
ETNA Art apartments,8.2,Yerevan,"84,000",Not Included,Two-Bedroom Apartment,Doesn't have,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Dave Hotel Yerevan,9.5,Yerevan,"45,050",Included,Standard Double Room,Picnic area | Terrace | Garden,Doesn't have,Beach | Hiking,Minibar | Tea/Coffee maker,No internet access available.,Street parking | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Boutique Apartment,9.2,Yerevan,"32,850",Not Included,One-Bedroom Apartment,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | Barbecue | Private pool | BBQ facilities | Patio | Balcony | Terrace | Garden,Doesn't have,Hiking (Off-site),Grocery deliveries | Special diet menus (on request) | Snack bar | Packed lunches | Breakfast in the room | Bar | Room service | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking,English | Polish | Russian,Sun loungers or beach chairs | Sauna,Doesn't have,Doesn't have
"Hilltop North Avenue by Stellar Hotels, Yerevan",8.9,Yerevan,"62,900",Not Included,Deluxe Apartment,Outdoor fireplace | Picnic area | Sun terrace,Ski pass vendor | Ski equipment hire on site | Ski storage (Additional charge),"Evening entertainment (Additional charge) | Horse riding (Off-site, Additional charge) | Bowling (Off-site, Additional charge) | Cycling (Off-site) | Hiking (Off-site) | Darts (Additional charge) | Skiing (Off-site) | Fishing (Off-site, Additional charge) | Tennis court (Off-site, Additional charge)",Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking,English | Armenian | Russian,Sun umbrellas | Sun loungers or beach chairs | Open-air bath,Doesn't have,Doesn't have
Jermuk Best Apartament,7.3,Jermuk,"18,000",Not Included,Three-Bedroom Apartment,Outdoor fireplace | Picnic area | Outdoor furniture | Sun terrace | BBQ facilities | Terrace | Garden,Doesn't have,Archery | Live sport events (broadcast) | Live music/performance | Walking tours | Temporary art galleries | Badminton equipment (Additional charge) | Tennis equipment | Evening entertainment | Kids' club | Entertainment staff | Hiking | Darts (Additional charge) | Children's playground | Games room | Tennis court (Additional charge),Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Electric vehicle charging station | Street parking | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Mini Hotel Sevan,7.1,Sevan,"18,000",Not Included,Deluxe Double Room,Outdoor dining area | Patio | Terrace | Garden,Ski storage,"Cycling (Off-site) | Hiking | Skiing (Off-site) | Fishing (Off-site, Additional charge)",Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
VILLA LOFT,9.7,Yerevan,"84,800",Not Included,Villa with Private Pool,Picnic area | BBQ facilities (Additional charge) | Terrace,Doesn't have,"Live music/performance (Off-site) | Tour or class about local culture (Additional charge) | Walking tours (Additional charge) | Movie nights (Off-site, Additional charge) | Temporary art galleries | Hiking (Off-site, Additional charge)",Coffee house on site | Fruits | Kid-friendly buffet | Special diet menus (on request) | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Electric vehicle charging station | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Richmind Hotel,9.1,Vagharshapat,"12,500",Not Included,Small Single Room,Outdoor dining area | Barbecue | Balcony | Garden,Doesn't have,Evening entertainment | Hiking | Children's playground,Special diet menus (on request) | Breakfast in the room | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Park Resort Aghveran,8.7,Agveran,"30,500",Not Included,Standard Double Room,Balcony | Garden,Doesn't have,Doesn't have,Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,,Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Hotel Life,8.2,Jermuk,"14,000",Not Included,Twin Room,Terrace | Garden,Doesn't have,Doesn't have,Bar | Restaurant,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Concept Hotel by COAF,9.1,Debed,"43,000",Included,Standard Double Room,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,"Live sport events (broadcast) | Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Walking tours (Additional charge) | Movie nights | Horse riding (Off-site, Additional charge) | Hiking (Off-site, Additional charge) | Fishing (Off-site)",Fruits (Additional charge) | Wine/champagne (Additional charge),WiFi is available in the hotel rooms and is free of charge.,Parking garage,English | Russian,Fitness classes | Sun umbrellas | Open-air bath,Doesn't have,Doesn't have
Ruzanna's Bed & Breakfast,8.4,Stepʼanavan,"10,000",Included,Double Room,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Terrace | Sun terrace | Barbecue | Patio | Garden,Doesn't have,Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Walking tours (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Breakfast in the room | Bar | Restaurant | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,Accessible parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Ruzan hotel,9.1,Ijevan,"12,000",Not Included,Triple Room with Balcony,Balcony,Doesn't have,Walking tours (Additional charge),Breakfast in the room | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Flamenco Hotel,8.9,Sisian,"16,000",Included,Deluxe Double or Twin Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Barbecue | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,"Live music/performance | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Happy hour | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Movie nights (Additional charge) | Temporary art galleries (Off-site, Additional charge) | Fitness/spa locker rooms | Hair styling | Hair colouring | Hair cut | Manicure | Hair treatments | Beauty Services | Badminton equipment | Water park (Off-site, Additional charge) | Evening entertainment | Hot spring bath | Horse riding (Off-site, Additional charge) | Cycling | Hiking (Off-site, Additional charge) | Games room | Fishing (Off-site, Additional charge)",Fruits | Wine/champagne (Additional charge) | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Aghveran Ararat Resort Hotel,9.2,Arzakan,"12,000",Included,Family Suite,Doesn't have,Doesn't have,Bike tours (Additional charge) | Walking tours,Doesn't have,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Hotel KA-EL,7.7,Musalerr,"20,000",Not Included,Deluxe Double Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | BBQ facilities | Terrace | Garden,Doesn't have,"Horse riding (Off-site, Additional charge) | Hiking",Wine/champagne (Additional charge) | Breakfast in the room,WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Andranik B&B,9.4,Goris,"10,000",Included,Single Room,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,"Walking tours (Additional charge) | Horse riding (Off-site, Additional charge) | Hiking (Off-site, Additional charge) | Fishing (Off-site, Additional charge)",Coffee house on site | Fruits | Kid meals (Additional charge) | Breakfast in the room | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
